39.98,116.32,1
39.98,116.31,2
39.98,116.3,3
40.0,116.29,4
39.99,116.31,5
39.99,116.32,6
40.0,116.32,7
40.01,116.32,8
39.91,116.37,9
39.91,116.38,10
39.91,116.39,11
39.9,116.39,12
39.89,116.39,13
39.89,116.36,14
39.89,116.35,15
39.89,116.34,16
39.9,116.34,17
39.9,116.33,18
39.91,116.31,19
39.92,116.3,20
39.92,116.31,21
39.92,116.32,22
39.99,116.33,23
40.0,116.33,24
40.01,116.3,25
40.0,116.3,26
40.0,116.31,27
40.01,116.31,28
39.98,116.33,29
39.97,116.33,30
40.01,116.29,31
39.97,116.31,32
39.96,116.32,33
39.95,116.32,34
40.02,116.32,35
40.01,116.33,36
39.99,116.3,37
40.02,116.31,38
39.98,116.34,39
39.99,116.34,40
39.99,116.35,41
39.99,116.36,42
39.99,116.37,43
39.99,116.38,44
39.99,116.39,45
39.99,116.4,46
39.99,116.41,47
39.98,116.41,48
39.98,116.42,49
39.99,116.42,50
39.99,116.43,51
39.98,116.44,52
39.98,116.45,53
39.97,116.46,54
39.97,116.47,55
39.98,116.48,56
39.99,116.49,57
40.0,116.5,58
40.01,116.51,59
40.02,116.52,60
40.02,116.53,61
40.03,116.55,62
40.03,116.56,63
40.03,116.58,64
40.03,116.59,65
40.03,116.6,66
40.03,116.61,67
40.04,116.61,68
40.05,116.61,69
40.05,116.6,70
40.05,116.59,71
40.06,116.58,72
40.07,116.58,73
40.08,116.59,74
40.08,116.58,75
40.05,116.58,76
40.04,116.57,77
40.02,116.54,78
39.98,116.46,79
39.99,116.44,80
40.0,116.28,81
40.0,116.27,82
39.99,116.27,83
40.0,116.26,84
39.99,116.29,85
39.98,116.29,86
39.97,116.32,87
39.91,116.41,88
39.91,116.4,89
39.9,116.38,90
39.9,116.37,91
39.9,116.36,92
39.9,116.35,93
39.91,116.35,94
39.92,116.35,95
39.93,116.35,96
39.93,116.34,97
39.94,116.34,98
39.94,116.33,99
39.94,116.32,100
39.97,116.34,101
39.96,116.34,102
39.95,116.35,103
39.94,116.35,104
39.95,116.37,105
39.94,116.37,106
39.94,116.38,107
39.94,116.39,108
39.93,116.39,109
39.93,116.38,110
39.93,116.37,111
39.93,116.36,112
39.95,116.33,113
39.96,116.33,114
39.98,116.47,115
39.99,116.48,116
40.0,116.49,117
40.03,116.54,118
40.03,116.57,119
40.04,116.58,120
39.98,116.28,121
39.97,116.27,122
39.96,116.27,123
39.95,116.27,124
39.94,116.27,125
39.93,116.27,126
39.92,116.26,127
39.92,116.25,128
39.92,116.23,129
39.92,116.22,130
39.92,116.21,131
39.91,116.21,132
39.91,116.2,133
39.9,116.2,134
39.89,116.2,135
39.87,116.2,136
39.86,116.21,137
39.85,116.21,138
39.84,116.22,139
39.83,116.23,140
39.82,116.25,141
39.81,116.25,142
39.8,116.26,143
39.79,116.26,144
39.78,116.27,145
39.77,116.28,146
39.78,116.29,147
39.77,116.3,148
39.76,116.3,149
39.79,116.28,150
39.8,116.28,151
39.81,116.29,152
39.81,116.28,153
39.82,116.28,154
39.83,116.28,155
39.84,116.28,156
39.85,116.28,157
39.86,116.28,158
39.88,116.27,159
39.89,116.27,160
39.9,116.27,161
39.91,116.27,162
39.92,116.27,163
39.97,116.28,164
39.93,116.25,165
39.92,116.2,166
39.89,116.21,167
39.88,116.2,168
39.77,116.29,169
39.78,116.28,170
39.87,116.27,171
39.9,116.26,172
39.9,116.24,173
39.9,116.23,174
39.9,116.21,175
39.85,116.22,176
39.83,116.24,177
39.81,116.26,178
39.87,116.21,179
39.78,116.26,180
39.77,116.27,181
39.87,116.28,182
39.84,116.23,183
39.85,116.23,184
39.86,116.24,185
39.86,116.25,186
39.87,116.26,187
39.91,116.47,188
39.91,116.48,189
39.91,116.49,190
39.91,116.5,191
39.91,116.51,192
39.91,116.53,193
39.91,116.54,194
39.91,116.56,195
39.91,116.57,196
39.91,116.58,197
39.91,116.6,198
39.91,116.61,199
39.91,116.62,200
39.92,116.63,201
39.93,116.64,202
39.93,116.65,203
39.92,116.65,204
39.92,116.67,205
39.92,116.68,206
39.92,116.7,207
39.92,116.71,208
39.93,116.72,209
39.93,116.74,210
39.93,116.75,211
39.93,116.76,212
39.94,116.77,213
39.94,116.79,214
39.94,116.8,215
39.95,116.79,216
39.95,116.8,217
39.95,116.78,218
39.94,116.78,219
39.94,116.76,220
39.93,116.73,221
39.92,116.72,222
39.92,116.69,223
39.93,116.63,224
39.91,116.52,225
39.88,116.45,226
39.87,116.45,227
39.86,116.45,228
39.86,116.46,229
39.87,116.46,230
39.87,116.47,231
39.88,116.47,232
39.89,116.47,233
39.9,116.47,234
39.91,116.55,235
39.91,116.59,236
39.92,116.64,237
39.92,116.66,238
39.91,116.42,239
39.9,116.41,240
39.95,116.34,241
40.02,116.33,242
40.01,116.5,243
40.02,116.51,244
39.94,116.31,245
39.92,116.34,246
39.92,116.36,247
39.89,116.45,248
39.88,116.44,249
39.87,116.44,250
